City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Kapaa,US,69.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
152,Luganville,VU,78.37,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
153,Roebourne,AU,83.89,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
156,Takoradi,GH,84.42,broken clouds,4.8845,-1.7554,Raybow International Hotel
158,Poum,NC,81.14,overcast clouds,-20.2333,164.0167,
160,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
161,Namatanai,PG,80.55,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
162,Porbandar,IN,80.4,clear sky,21.6422,69.6093,Lords Inn Porbandar
165,Matara,LK,77.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
166,Hansi,IN,85.48,clear sky,29.1,75.9667,Green Valley Lodge
168,Maryborough,AU,69.12,clear sky,-25.5333,152.7,Blue Shades Motel
171,Berbera,SO,79.97,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
172,Kuchinarai,TH,79.77,few clouds,16.541,104.05,โรงแรมแสงชัย
174,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
177,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
179,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
183,Tura,IN,74.35,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
186,Tautira,PF,81.27,scattered clouds,-17.7333,-149.15,Pension Oaoa
187,Itoman,JP,71.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
192,Ouadda,CF,85.59,scattered clouds,8.0777,22.4007,
193,Hambantota,LK,80.24,scattered clouds,6.1241,81.1185,Bungalow 63
194,Rocha,UY,85.12,clear sky,-34.4833,-54.3333,Hotel Arrarte
196,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
198,Banjar,ID,76.77,broken clouds,-8.19,114.9675,The Hamsa Resort
200,Ransang,PH,77.61,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
204,Nagapattinam,IN,82.49,clear sky,10.7667,79.8333,Sathya Lodge
206,Guerrero Negro,MX,66.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
207,Pedernales,DO,80.29,broken clouds,18.0384,-71.744,Hotel Costa Marina
208,Karratha,AU,84.25,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
209,Japura,ID,75.11,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
211,San Rafael Del Sur,NI,88.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
213,Phan Thiet,VN,77.88,broken clouds,10.9333,108.1,Hotel Saigon-PT
215,Lismore,AU,71.49,heavy intensity rain,-28.8135,153.2773,Dawson Motor Inn
217,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
221,Pointe Michel,DM,86.94,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
225,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
228,Eydhafushi,MV,82.87,clear sky,5.1033,73.0708,Soneva Fushi
230,Abonnema,NG,86.72,light rain,4.7084,6.7931,Corper's Lodge Obonoma
232,Tahlequah,US,71.82,clear sky,35.9154,-94.97,Oak Hill Inn and Suites
233,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Jatibonico,CU,85.82,overcast clouds,21.9419,-79.17,"Hostel ""Los Tomasos"""
235,Sao Filipe,CV,71.29,clear sky,14.8961,-24.4956,Hotel Xaguate
236,Samana,DO,80.82,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
237,Sola,VU,77.79,overcast clouds,-13.8833,167.55,Leumerus Bungalows
238,Zimmi,SL,84.7,light rain,7.3153,-11.3061,
242,Boende,CD,74.88,overcast clouds,-0.2167,20.8667,
243,Begowala,PK,75.29,clear sky,32.4376,74.2682,Masjid habib ullah
244,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
245,Riberalta,BO,88.0,broken clouds,-10.9833,-66.1,Hotel Colonial
249,Magadi,IN,87.39,overcast clouds,12.9667,77.2333,Gobi centre
250,Kongolo,CD,70.25,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
251,Kanniyakumari,IN,83.03,clear sky,8.0833,77.5667,Sparsa Kanyakumari
252,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
253,Mazagao,BR,84.25,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
255,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
256,Prado,BR,83.86,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
259,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
260,Willowmore,ZA,75.06,broken clouds,-33.2926,23.4895,Jumper's Place
263,Cockburn Town,TC,76.71,few clouds,21.4612,-71.1419,Osprey Beach Hotel
264,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
266,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
267,Morondava,MG,77.77,light rain,-20.2833,44.2833,La Case Bambou
270,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
272,Wanning,CN,74.26,scattered clouds,18.8003,110.3967,Paradise Hotel
274,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
275,Puerto Madero,MX,85.24,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
278,Nabire,ID,74.8,light rain,-3.3667,135.4833,Hotel Nusantara I
279,Camuy,PR,84.16,scattered clouds,18.4838,-66.8449,Serenity Hair Design & Spa
281,San Patricio,US,79.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Ixtapa,MX,88.07,clear sky,20.7,-105.2,hotel la terminal
286,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
287,Zeliezovce,SK,66.74,overcast clouds,48.0508,18.6542,Pension Eden
288,Alofi,NU,80.85,moderate rain,-19.0595,-169.9187,Taloa Heights
289,Jalu,LY,74.91,clear sky,29.0331,21.5482,صاحبة الفخامة
292,Pitimbu,BR,83.86,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
298,San Ignacio,BZ,81.72,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
299,Castro,BR,79.36,few clouds,-24.7911,-50.0119,CHACARA BAILLY
301,Arica,CL,72.82,scattered clouds,-18.475,-70.3042,Hostal Jardin Del Sol
302,Palmerston,AU,80.58,light rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
304,Maibong,IN,72.43,scattered clouds,25.3,93.1667,Juhi Cottage Maibang
305,Dong Hoi,VN,72.27,overcast clouds,17.4833,106.6,Nam Long Hotel
307,Richards Bay,ZA,75.06,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
309,Asosa,ET,77.31,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
314,Vangaindrano,MG,72.52,light rain,-23.35,47.6,Hotel Fanilo
316,Aloleng,PH,82.72,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
317,Treinta Y Tres,UY,87.3,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
322,Singaraja,ID,79.2,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
324,Huanuco,PE,76.33,overcast clouds,-9.9329,-76.2415,Hostal Miraflores
326,Itirucu,BR,77.74,broken clouds,-13.5317,-40.1503,Casa Amarela
337,Redwater,US,75.22,overcast clouds,33.3582,-94.2544,Witterstaetter Properties
342,Belmonte,BR,84.04,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
343,Amahai,ID,77.43,light rain,-3.3333,128.9167,HOTEL ISABELA
345,Gat,IL,71.4,scattered clouds,31.61,34.7642,OlusHome
347,Bonthe,SL,83.98,broken clouds,7.5264,-12.505,Bonthe Holiday Village
348,Hirara,JP,73.85,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
351,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
352,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
353,Iquitos,PE,72.64,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
355,Coquimbo,CL,67.28,clear sky,-29.9533,-71.3436,Hotel San Juan
356,Celestun,MX,85.24,clear sky,20.8667,-90.4,Posada Lilia
357,Fare,PF,82.69,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
359,Bosaso,SO,79.59,few clouds,11.2842,49.1816,Red Sea Hotel
360,Bentong,MY,75.61,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
362,Tual,ID,82.69,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
364,Nelson Bay,AU,73.99,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
365,Pakxan,LA,76.14,clear sky,18.3778,103.6601,Kong Kham Pheng Guesthouse
367,Dzaoudzi,YT,82.29,broken clouds,-12.7887,45.2699,Le Rocher
370,Santa Marta,CO,83.01,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
372,Harper,LR,83.71,broken clouds,4.375,-7.7169,Screensaver
382,Cidreira,BR,78.85,clear sky,-30.1811,-50.2056,Hotel Castelo
384,Sonipat,IN,84.2,clear sky,28.9833,77.0167,Cozette Hotel Sonipat
385,Buluang,PH,74.82,few clouds,13.3068,123.3425,Enon Beach Resort
389,Bandarbeyla,SO,79.54,light rain,9.4942,50.8122,JABIR HOTEL
391,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
393,Padang,ID,76.06,few clouds,-0.9492,100.3543,Mercure Padang
394,Carutapera,BR,76.14,moderate rain,-1.195,-46.02,Lidera
397,Jibuti,DJ,77.65,few clouds,11.5,42.5,Orchid Main Camp Goubet
399,Caravelas,BR,84.94,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
407,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
