City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Butaritari,KI,2022-03-29 16:54:23,3.0707,172.7902,80.91,71,34,12.82,scattered clouds
60,Nelson,NZ,2022-03-29 16:49:45,-41.2833,173.2833,59.29,89,60,1.01,broken clouds
61,Cabo San Lucas,MX,2022-03-29 16:54:24,22.8909,-109.9124,84.18,41,70,7.96,broken clouds
62,Erzin,TR,2022-03-29 16:54:24,36.9559,36.2,57.69,55,100,5.28,overcast clouds
63,Avarua,CK,2022-03-29 16:54:24,-21.2078,-159.775,75.25,100,20,2.3,few clouds
64,Severo-Kurilsk,RU,2022-03-29 16:54:25,50.6789,156.125,28.38,69,83,20.18,broken clouds
65,Grindavik,IS,2022-03-29 16:54:25,63.8424,-22.4338,39.67,75,75,19.57,broken clouds
66,Longyearbyen,SJ,2022-03-29 16:54:25,78.2186,15.6401,15.64,53,0,16.11,clear sky
67,Constitucion,CL,2022-03-29 16:54:26,-35.3333,-72.4167,64.26,46,0,18.39,clear sky
68,Los Arabos,CU,2022-03-29 16:54:26,22.7281,-80.7214,86.02,30,28,16.49,moderate rain
69,Shujalpur,IN,2022-03-29 16:54:26,23.4,76.7167,84.43,13,0,6.15,clear sky
70,Dymytrove,UA,2022-03-29 16:54:27,48.6077,32.9835,52.97,53,92,16.69,overcast clouds
71,Ribeira Grande,PT,2022-03-29 16:54:27,38.5167,-28.7,70.2,73,40,9.22,scattered clouds
72,Flinders,AU,2022-03-29 16:54:27,-34.5833,150.8552,67.28,94,100,5.99,overcast clouds
73,Acarau,BR,2022-03-29 16:54:27,-2.8856,-40.12,79.34,85,100,10.65,overcast clouds
74,Paita,PE,2022-03-29 16:54:28,-5.0892,-81.1144,79.03,66,75,11.01,broken clouds
75,Karacakoy,TR,2022-03-29 16:54:28,41.4029,28.3834,58.84,68,100,8.48,overcast clouds
76,Ostersund,SE,2022-03-29 16:52:28,63.1792,14.6357,28.85,37,0,12.66,clear sky
77,Broome,US,2022-03-29 16:54:29,42.2506,-75.833,29.01,59,100,10.0,overcast clouds
